host_timestamp_s,monotonic_s,fields_json
1783441207.640614,607861.875000,"{""t_ms"":137220,""hwm"":256,""cap"":256,""dropped"":164,""dropped_total"":18960,""crc_err"":0,""crc_err_total"":0,""rate1"":432,""rate2"":421,""prod1"":436,""prod2"":430,""sma_state"":0,""m7_us"":140143292,""m4_us"":137573992,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441208.835661,607863.062000,"{""t_ms"":138274,""hwm"":256,""cap"":256,""dropped"":170,""dropped_total"":19130,""crc_err"":0,""crc_err_total"":0,""rate1"":407,""rate2"":442,""prod1"":425,""prod2"":437,""sma_state"":0,""m7_us"":141235657,""m4_us"":138666517,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441210.094625,607864.328000,"{""t_ms"":139326,""hwm"":256,""cap"":256,""dropped"":167,""dropped_total"":19297,""crc_err"":0,""crc_err_total"":0,""rate1"":431,""rate2"":420,""prod1"":442,""prod2"":423,""sma_state"":0,""m7_us"":142324675,""m4_us"":139757067,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441211.325431,607865.562000,"{""t_ms"":140378,""hwm"":256,""cap"":256,""dropped"":167,""dropped_total"":19464,""crc_err"":0,""crc_err_total"":0,""rate1"":433,""rate2"":418,""prod1"":427,""prod2"":437,""sma_state"":0,""m7_us"":143414622,""m4_us"":140846605,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441212.521654,607866.750000,"{""t_ms"":141431,""hwm"":256,""cap"":256,""dropped"":169,""dropped_total"":19633,""crc_err"":0,""crc_err_total"":0,""rate1"":414,""rate2"":436,""prod1"":426,""prod2"":437,""sma_state"":0,""m7_us"":144505842,""m4_us"":141937153,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441213.702570,607867.937000,"{""t_ms"":142481,""hwm"":256,""cap"":256,""dropped"":165,""dropped_total"":19798,""crc_err"":0,""crc_err_total"":0,""rate1"":425,""rate2"":427,""prod1"":428,""prod2"":438,""sma_state"":0,""m7_us"":145593813,""m4_us"":143023703,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441214.855657,607869.093000,"{""t_ms"":143532,""hwm"":256,""cap"":256,""dropped"":166,""dropped_total"":19964,""crc_err"":0,""crc_err_total"":0,""rate1"":411,""rate2"":441,""prod1"":419,""prod2"":446,""sma_state"":0,""m7_us"":146682077,""m4_us"":144112231,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441216.080588,607870.312000,"{""t_ms"":144557,""hwm"":256,""cap"":256,""dropped"":205,""dropped_total"":20169,""crc_err"":0,""crc_err_total"":0,""rate1"":412,""rate2"":399,""prod1"":419,""prod2"":404,""sma_state"":6,""m7_us"":147744077,""m4_us"":145158295,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441217.186433,607871.421000,"{""t_ms"":145605,""hwm"":256,""cap"":256,""dropped"":228,""dropped_total"":20397,""crc_err"":0,""crc_err_total"":0,""rate1"":385,""rate2"":408,""prod1"":387,""prod2"":418,""sma_state"":6,""m7_us"":148830081,""m4_us"":146244820,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441218.260888,607872.484000,"{""t_ms"":146660,""hwm"":256,""cap"":256,""dropped"":234,""dropped_total"":20631,""crc_err"":0,""crc_err_total"":0,""rate1"":389,""rate2"":399,""prod1"":402,""prod2"":398,""sma_state"":6,""m7_us"":149921790,""m4_us"":147334411,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
