host_timestamp_s,monotonic_s,fields_json
1784158831.723734,68710.875000,"{""t_ms"":1461173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1514358493,""m4_us"":1513713611,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":143,""loop_us_max"":3774,""loop_hz"":6993,""cycle_log_ms"":1,""n_cycle"":4}"
1784158832.759570,68711.906000,"{""t_ms"":1462173,""hwm"":4,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1515395186,""m4_us"":1514750017,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":145,""loop_us_max"":3820,""loop_hz"":6896,""cycle_log_ms"":1,""n_cycle"":4}"
1784158833.795458,68712.937000,"{""t_ms"":1463173,""hwm"":4,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1516431156,""m4_us"":1515786430,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":143,""loop_us_max"":3753,""loop_hz"":6993,""cycle_log_ms"":1,""n_cycle"":4}"
1784158834.848989,68714.000000,"{""t_ms"":1464173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1517467696,""m4_us"":1516822840,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":143,""loop_us_max"":3608,""loop_hz"":6993,""cycle_log_ms"":1,""n_cycle"":4}"
1784158835.869893,68715.015000,"{""t_ms"":1465174,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":511,""prod1"":512,""prod2"":511,""sma_state"":5,""m7_us"":1518505652,""m4_us"":1517860266,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":143,""loop_us_max"":3822,""loop_hz"":6993,""cycle_log_ms"":1,""n_cycle"":4}"
1784158836.906758,68716.046000,"{""t_ms"":1466174,""hwm"":4,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1519541308,""m4_us"":1518896644,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":145,""loop_us_max"":3853,""loop_hz"":6896,""cycle_log_ms"":1,""n_cycle"":4}"
1784158837.952076,68717.093000,"{""t_ms"":1467174,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1520577701,""m4_us"":1519933024,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":143,""loop_us_max"":3746,""loop_hz"":6993,""cycle_log_ms"":1,""n_cycle"":4}"
1784158838.978617,68718.125000,"{""t_ms"":1468174,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1521614075,""m4_us"":1520969389,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":143,""loop_us_max"":3769,""loop_hz"":6993,""cycle_log_ms"":1,""n_cycle"":4}"
1784158840.015387,68719.156000,"{""t_ms"":1469174,""hwm"":4,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1522650575,""m4_us"":1522005773,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":146,""loop_us_max"":3654,""loop_hz"":6849,""cycle_log_ms"":1,""n_cycle"":4}"
1784158841.051118,68720.203000,"{""t_ms"":1470174,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1523686853,""m4_us"":1523042148,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":143,""loop_us_max"":3876,""loop_hz"":6993,""cycle_log_ms"":1,""n_cycle"":4}"
