level_mA,heat_ms,cycle,bootstrap,cool_s,i_mA,u_V,R_ohm,cc_pct,v_hot_V,i_hot_mA,r_hot_ohm,p_hot_W,r_base_ohm,t_heat_start_s,t_heat_end_s,t_pulse_utc,dx_um,x_base_um,baseline_V,peak_V,rise_V,F_base_mN,dF_mN,clipped,railed,detect_ok,n_samples,sweep,run_type,i_low_mA,seeded
750,100,4,0,30.0,750.0712989690722,3.336133515463918,4.4477551934719175,100.0,3.2905165,743.4495000000001,4.4260121232175145,2.44633284666675,4.70883153063037,1394.587215,1394.687215,2026-07-31T19:21:51.185629+00:00,520.6012711423086,-4178.890492359879,1.8164154521276594,1.997918,0.18150254787234066,178.06484153440402,17.79285811906179,0,0,1,97,sweep_20260731_145838,map,100,1
750,100,5,0,30.0,751.22034375,3.2949355937499996,4.386110707947664,100.2,3.2866295,742.1990000000001,4.428232185707606,2.4393331282705004,4.65506969186632,1425.639709,1425.739709,2026-07-31T19:22:22.215764+00:00,538.0765560675572,-4071.507344106969,1.850716037037037,2.027416,0.1766999629629631,181.4273587433781,17.3220563980997,0,0,1,96,sweep_20260731_145838,map,100,1
750,100,6,0,30.0,751.483967032967,3.3077275384615388,4.401594290189868,100.2,3.257992,744.3969999999999,4.376686096263151,2.425239470824,4.716772493223662,1456.694067,1456.794067,2026-07-31T19:22:53.247761+00:00,511.703325343854,-4189.375997694678,1.8124774414893619,1.985782,0.17330455851063808,177.67879480734723,16.989201843795914,0,0,1,91,sweep_20260731_145838,map,100,1
850,100,1,1,30.0,851.0936145833332,3.7673991875,4.426539129123172,100.1,3.704871,845.3705,4.382541146160174,3.1319886497055,4.866324213365596,1513.284455,1513.384455,2026-07-31T19:23:50.203333+00:00,652.9572543103695,-4358.587175020758,1.7575565478723407,1.975697,0.2181404521276593,172.29485017761644,21.384504847090987,0,0,1,96,sweep_20260731_145838,map,100,1
850,100,2,0,30.0,850.952440860215,3.7381241290322578,4.392870799281619,100.1,3.7327890000000004,850.964,4.386541616331596,3.1764690585960005,4.682720902089177,1544.338404,1544.438404,2026-07-31T19:24:21.235388+00:00,705.43881238001,-4154.630234700514,1.8226945132275134,2.0603,0.23760548677248639,178.68038354513766,23.2926797117305,0,0,1,93,sweep_20260731_145838,map,100,1
850,100,3,0,30.0,850.6156565656565,3.7375737070707067,4.393962982248746,100.1,3.7066225,842.0529999999999,4.401887410887438,3.1211725959925,4.684968395855929,1575.392774,1575.492774,2026-07-31T19:24:52.267863+00:00,705.6448481143484,-4115.832323165376,1.8352388465608465,2.068299,0.23306015343915365,179.91011583162435,22.847096594292864,0,0,1,99,sweep_20260731_145838,map,100,1
850,100,4,0,30.0,1137.4780947368424,4.9804182,4.378473944284816,133.8,4.971221,1157.594,4.294442611140003,5.754655602274,4.589847999516499,1606.447263,1606.547263,2026-07-31T19:25:23.300458+00:00,1680.5935924881178,-4085.376784828386,1.8454611746031744,2.416188,0.5707268253968256,180.91221984964383,55.94886434415601,0,0,1,95,sweep_20260731_145838,map,100,1
850,100,5,0,30.0,850.3023298969073,3.7299661237113395,4.3866351914660395,100.0,3.698321,850.9100000000001,4.3463127710333636,3.14693832211,4.700025255123516,1637.500744,1637.600744,2026-07-31T19:25:54.332045+00:00,700.2397182381551,-4084.1192156706666,1.8446885978835978,2.080417,0.23572840211640234,180.83648345850963,23.108667413530355,0,0,1,97,sweep_20260731_145838,map,100,1
850,100,6,0,30.0,853.9041134020619,3.774560845360825,4.420356789619501,100.5,3.715837,848.967,4.3768921524629345,3.154622990379,4.718272189127771,1668.555164,1668.655164,2026-07-31T19:26:25.364571+00:00,669.2738701069666,-4106.116854857145,1.8342875714285716,2.065486,0.23119842857142836,179.8168614742659,22.66459002996924,0,0,1,97,sweep_20260731_145838,map,100,1
950,100,1,1,30.0,950.0320520833334,4.163823739583333,4.382824485187051,100.0,4.137689,939.175,4.405663481246839,3.886014066575,4.767020171328877,1725.259694,1725.359694,2026-07-31T19:27:21.543347+00:00,862.1424543848852,-4335.24528916669,1.7670104074074073,2.054876,0.2878655925925928,173.22162053625235,28.21972311905043,0,0,1,96,sweep_20260731_145838,map,100,1
950,100,2,0,30.0,953.485680412371,4.188582350515463,4.392915841907507,100.4,4.1558655,946.4544999999999,4.390982873450335,3.93333760386975,4.731557818100149,1756.314355,1756.414355,2026-07-31T19:27:52.575965+00:00,931.8176129990065,-4098.477506898558,1.8372228994708997,2.152944,0.3157211005291005,180.10461432403184,30.950423631845876,0,0,1,97,sweep_20260731_145838,map,100,1
950,100,3,0,30.0,949.8374347826086,4.185060010869566,4.406080301338522,100.0,4.167947,949.787,4.388296533854432,3.958661877289,4.675942806903891,1787.370351,1787.470351,2026-07-31T19:28:23.609918+00:00,911.2999143128136,-4155.652312366006,1.8201862712765957,2.134633,0.3144467287234043,178.43449832928744,30.825495816806974,0,0,1,92,sweep_20260731_145838,map,100,1
