t_rel_s,displacement_um,force_N,sma_v,sma_i,sma_r,stage_mm
2.6099975,-3797.8518,0.2177568,0.50855334,0.12165866,4.0790463,79.999979
2.6199975,-3795.0541,0.21780837,0.51126136,0.12152686,4.105382,79.999979
2.6299975,-3797.3739,0.21729846,0.51396886,0.12139505,4.1317177,79.999979
2.6399975,-3793.0511,0.21827553,0.51301895,0.12254976,4.0935795,79.999979
2.6499975,-3790.4959,0.21835709,0.51206904,0.12384589,4.0483539,79.999979
2.6599975,-3791.8641,0.21830796,0.51111913,0.12514201,4.0031284,79.999979
2.6699975,-3794.4373,0.2183128,0.51016922,0.12643814,3.9579028,79.999979
2.6799974,-3790.21,0.21874787,0.50921931,0.12773427,3.9126772,79.999979
2.6899974,-3789.6651,0.21792111,0.50826939,0.1290304,3.8674516,79.999979
2.6999974,-3786.143,0.21806717,0.50731948,0.13032652,3.822226,79.999979
2.7099974,-3787.9867,0.21790222,0.50636957,0.13162265,3.7770005,79.999979
2.7199974,-3788.7742,0.21800575,0.50541966,0.13291878,3.7317749,79.999979
2.7299974,-3786.7435,0.21807234,0.50446975,0.1342149,3.6865493,79.999979
2.7399974,-3789.3006,0.21775016,0.50351984,0.13551103,3.6413237,79.999979
2.7499974,-3787.1613,0.21832551,0.50256993,0.13680716,3.5960981,79.999979
2.7599974,-3785.4239,0.21799274,0.50162001,0.13810328,3.5508725,79.999979
2.7699974,-3785.4558,0.21806984,0.5006701,0.13939941,3.505647,79.999979
2.7799973,-3785.5959,0.21830933,0.49972019,0.14069554,3.4604214,79.999979
2.7899973,-3784.7379,0.21815665,0.49877028,0.14199167,3.4151958,79.999979
2.7999973,-3780.6814,0.21842541,0.49907528,0.14124099,3.439533,79.999979
2.8099973,-3782.4124,0.21849966,0.49986147,0.13948003,3.4982056,79.999979
2.8199973,-3782.1076,0.21855326,0.50064765,0.13771908,3.5568783,79.999979
2.8299973,-3780.463,0.21821561,0.50143384,0.13595812,3.615551,79.999979
