pass_index,sweep_index,direction,displacement_mm,stage_actual_mm,expected_force_mN,timestamp_us,voltage_V,raw_code,adc_source
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56714000,0.92134000,395712373,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56716000,0.92056600,395380251,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56718000,0.92052200,395361359,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56720000,0.92073400,395452107,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56722000,0.92089100,395519685,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56724000,0.92089100,395519685,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56726000,0.92096300,395550498,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56728000,0.92107600,395599200,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56730000,0.92133900,395712271,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56732000,0.92076300,395464508,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56734000,0.92039600,395306906,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56736000,0.92039600,395306906,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56738000,0.92040700,395311829,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56740000,0.92101400,395572544,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56742000,0.92119500,395650190,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56744000,0.92119500,395650190,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56746000,0.92127900,395686431,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56748000,0.92119200,395648919,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56750000,0.92072600,395448786,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56752000,0.92027700,395255858,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56754000,0.92056700,395380681,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56756000,0.92056700,395380681,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56758000,0.92101900,395574750,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56760000,0.92115900,395634915,1
