t_rel_s,displacement_um,force_N,stage_mm
12.799988,-4960.8555,0.21535512,79.999979
12.809988,-4960.5853,0.21535512,79.999979
12.819988,-4959.6792,0.21586887,79.999979
12.829988,-4958.3404,0.21527553,79.999979
12.839988,-4960.6955,0.21640079,79.999979
12.849988,-4957.7412,0.21626611,79.999979
12.859988,-4960.6036,0.21558144,79.999979
12.869988,-4957.7923,0.2158112,79.999979
12.879988,-4960.4337,0.21609098,79.999979
12.889988,-4960.3102,0.2156656,79.999979
12.899988,-4957.7108,0.21618683,79.999979
12.909988,-4958.7205,0.21644114,79.999979
12.919988,-4958.1211,0.21577901,79.999979
12.929988,-4958.1556,0.21638179,79.999979
12.939988,-4958.5915,0.21519012,79.999979
12.949988,-4959.1259,0.21477263,79.999979
12.959988,-4959.9075,0.21567752,79.999979
12.969988,-4957.0726,0.21606004,79.999979
12.979988,-4957.8215,0.21668034,79.999979
12.989988,-4957.3517,0.21669269,79.999979
12.999988,-4957.0064,0.21642839,79.999979
13.009988,-4957.1452,0.21608031,79.999979
13.019988,-4959.0889,0.21612349,79.999979
13.029988,-4957.5623,0.21553985,79.999979
13.039988,-4958.485,0.21685074,79.999979
13.049988,-4957.0951,0.2158588,79.999979
13.059988,-4959.9941,0.2156513,79.999979
13.069988,-4958.8878,0.21609244,79.999979
13.079988,-4957.3762,0.21592797,79.999979
13.089988,-4958.5955,0.21673686,79.999979
13.099988,-4960.4142,0.21690062,79.999979
13.109987,-4957.0132,0.21616064,79.999979
13.119987,-4958.2369,0.21564401,79.999979
13.129987,-4957.1527,0.21609594,79.999979
13.139987,-4957.9138,0.21534735,79.999979
13.149987,-4957.4267,0.21634078,79.999979
13.159987,-4959.5869,0.21493704,79.999979
13.169987,-4958.7204,0.21674156,79.999979
13.179987,-4958.4497,0.21669775,79.999979
13.189987,-4959.4585,0.21603473,79.999979
13.199987,-4960.7008,0.21574177,79.999979
13.209987,-4957.1924,0.21569653,79.999979
13.219987,-4958.0389,0.21603334,79.999979
13.229987,-4957.0915,0.21569481,79.999979
13.239987,-4960.4956,0.2157526,79.999979
13.249987,-4958.7514,0.21527395,79.999979
13.259987,-4957.3873,0.21563292,79.999979
13.269987,-4957.6675,0.21572445,79.999979
13.279987,-4958.0532,0.21564146,79.999979
13.289987,-4960.5073,0.21642442,79.999979
13.299987,-4959.8927,0.21636766,79.999979
13.309987,-4957.5824,0.21682659,79.999979
13.319987,-4957.9651,0.21610289,79.999979
13.329987,-4958.2854,0.21609772,79.999979
13.339987,-4957.5891,0.21587334,79.999979
13.349987,-4960.7774,0.21604049,79.999979
13.359987,-4960.0373,0.2157312,79.999979
13.369987,-4957.8049,0.21672183,79.999979
13.379987,-4958.5324,0.2169042,79.999979
13.389987,-4959.3501,0.2169042,79.999979
13.399987,-4957.6762,0.21539374,79.999979
13.409987,-4959.1942,0.21575958,79.999979
13.419987,-4959.4283,0.21625108,79.999979
13.429987,-4957.1943,0.21594046,79.999979
13.439987,-4960.0013,0.21583098,79.999979
13.449987,-4960.7189,0.21592323,79.999979
13.459987,-4960.3979,0.21594976,79.999979
13.469987,-4957.3502,0.21606447,79.999979
13.479987,-4959.5696,0.21705723,79.999979
13.489987,-4957.1064,0.21475221,79.999979
13.499987,-4960.2325,0.21544412,79.999979
13.509987,-4960.7067,0.215929,79.999979
13.519987,-4958.4324,0.21639842,79.999979
13.529987,-4959.6779,0.21589398,79.999979
13.539987,-4958.3559,0.21602859,79.999979
13.549987,-4956.9398,0.21600395,79.999979
13.559987,-4959.7539,0.21568186,79.999979
13.569987,-4960.6938,0.21580332,79.999979
13.579987,-4959.6078,0.21592478,79.999979
13.589987,-4958.3917,0.21649632,79.999979
13.599987,-4960.6888,0.2155451,79.999979
13.609987,-4957.0902,0.21582959,79.999979
13.619987,-4960.3578,0.21538697,79.999979
13.629987,-4960.498,0.21565034,79.999979
13.639987,-4960.3318,0.21565372,79.999979
13.649987,-4958.4439,0.21696841,79.999979
13.659987,-4957.9467,0.21628876,79.999979
13.669987,-4957.9386,0.21620779,79.999979
13.679987,-4959.9973,0.21622208,79.999979
13.689987,-4960.1961,0.21609436,79.999979
13.699987,-4959.0936,0.21596247,79.999979
13.709987,-4956.9692,0.21636013,79.999979
13.719987,-4959.4734,0.21621979,79.999979
13.729987,-4959.7105,0.21595595,79.999979
13.739987,-4960.7852,0.2149976,79.999979
13.749987,-4960.4054,0.215103,79.999979
13.759987,-4959.9064,0.21530491,79.999979
13.769987,-4958.1195,0.21571626,79.999979
13.779987,-4960.2815,0.21648427,79.999979
13.789987,-4959.5856,0.21548281,79.999979
13.799987,-4959.0728,0.21536908,79.999979
13.809987,-4959.8372,0.21597806,79.999979
13.819987,-4958.3828,0.21648015,79.999979
13.829987,-4958.0113,0.21661349,79.999979
13.839987,-4959.7794,0.21591869,79.999979
13.849987,-4961.1167,0.2160727,79.999979
