Results Table 1


Results Table 2


Time,Displacement,Force
(s),(mm),(mN)
"10.7800","10.7291","327.2353"
"10.8000","10.7496","328.0078"
"10.8200","10.7689","328.6604"
"10.8400","10.7882","329.1639"
"10.8600","10.8073","329.8887"
"10.8800","10.8275","330.4762"
"10.9000","10.8488","330.6500"
"10.9200","10.8694","331.4708"
"10.9400","10.8895","332.2855"
"10.9600","10.9092","333.0055"
"10.9800","10.9293","333.7122"
"11.0000","10.9495","334.0026"
"11.0200","10.9688","334.9665"
"11.0400","10.9886","335.3124"
"11.0600","11.0087","335.8278"
"11.0800","11.0288","336.6739"
"11.1000","11.0493","337.3863"
"11.1200","11.0692","338.1577"
"11.1400","11.0890","338.6702"
"11.1600","11.1086","339.2416"
"11.1800","11.1282","339.7665"
"11.2000","11.1485","340.2058"
"11.2200","11.1687","340.6607"
"11.2400","11.1886","341.7718"
"11.2600","11.2089","342.0458"
"11.2800","11.2288","342.9041"
"11.3000","11.2491","343.5084"
"11.3200","11.2692","344.2168"
"11.3400","11.2890","344.6523"
"11.3600","11.3092","345.2660"
"11.3800","11.3292","345.9509"
"11.4000","11.3492","346.5938"
"11.4200","11.3689","346.8996"
"11.4400","11.3882","347.6353"
"11.4600","11.4085","348.3241"
"11.4800","11.4292","348.9302"
"11.5000","11.4497","349.6400"
"11.5200","11.4698","350.0086"
"11.5400","11.4895","350.8598"
"11.5600","11.5098","351.5515"
"11.5800","11.5300","352.1405"
"11.6000","11.5494","352.5788"
"11.6200","11.5685","353.2285"
"11.6400","11.5875","353.9649"
"11.6600","11.6072","354.8039"
"11.6800","11.6279","355.4297"
"11.7000","11.6484","356.3181"
"11.7200","11.6693","356.2619"
"11.7400","11.6894","356.8462"
"11.7600","11.7089","357.4513"
"11.7800","11.7291","358.1677"
"11.8000","11.7492","359.2541"
"11.8200","11.7694","359.7637"
"11.8400","11.7890","360.1478"
"11.8600","11.8082","360.7721"
"11.8800","11.8282","361.3032"
"11.9000","11.8484","362.2263"
"11.9200","11.8688","362.8213"
"11.9400","11.8895","363.2614"
"11.9600","11.9096","363.8719"
"11.9800","11.9299","364.3663"
"12.0000","11.9501","364.6038"
"12.0200","11.9698","365.2987"
"12.0400","11.9895","366.0866"
"12.0600","12.0089","367.0189"
"12.0800","12.0293","367.4515"
"12.1000","12.0500","367.9782"
"12.1200","12.0697","368.8082"
"12.1400","12.0894","369.3607"
"12.1600","12.1087","369.7647"
"12.1800","12.1288","370.4133"
"12.2000","12.1497","371.0228"
"12.2200","12.1702","371.8912"
"12.2400","12.1901","372.2040"
"12.2600","12.2090","372.8784"
"12.2800","12.2281","373.9124"
"12.3000","12.2483","374.3713"
"12.3200","12.2686","374.8716"
"12.3400","12.2895","375.2291"
"12.3600","12.3103","375.9015"
"12.3800","12.3301","376.8565"
"12.4000","12.3494","377.3319"
"12.4200","12.3687","377.8653"
"12.4400","12.3885","378.5470"
"12.4600","12.4087","379.2044"
"12.4800","12.4284","380.1324"
"12.5000","12.4488","380.6506"
"12.5200","12.4688","381.0657"
"12.5400","12.4882","381.9519"
"12.5600","12.5083","382.2785"
"12.5800","12.5282","383.0112"
"12.6000","12.5482","383.6985"
"12.6200","12.5684","383.8630"
"12.6400","12.5885","384.6321"
"12.6600","12.6090","385.2808"
"12.6800","12.6291","385.9049"
"12.7000","12.6492","386.4423"
"12.7200","12.6694","386.9582"
"12.7400","12.6887","388.1583"
"12.7600","12.7086","388.7013"
"12.7800","12.7292","389.0510"
"12.8000","12.7497","389.9260"
"12.8200","12.7700","390.3329"
"12.8400","12.7894","391.0746"
"12.8600","12.8088","391.6770"
"12.8800","12.8284","392.4024"
"12.9000","12.8481","392.8047"
"12.9200","12.8690","393.1369"
"12.9400","12.8891","393.7007"
"12.9600","12.9085","394.9250"
"12.9800","12.9287","395.2444"
"13.0000","12.9491","395.7256"
"13.0200","12.9697","396.3522"
"13.0400","12.9897","397.3567"
"13.0600","13.0092","398.1237"
"13.0800","13.0290","398.3429"
"13.1000","13.0481","399.2454"
"13.1200","13.0680","399.6970"
"13.1400","13.0885","400.0050"
"13.1600","13.1086","400.8771"
"13.1800","13.1292","401.6283"
"13.2000","13.1495","402.2678"
"13.2200","13.1695","402.8479"
"13.2400","13.1892","403.7375"
"13.2600","13.2089","404.2769"
"13.2800","13.2295","404.5259"
"13.3000","13.2499","404.8657"
"13.3200","13.2692","406.0374"
"13.3400","13.2885","406.5772"
"13.3600","13.3078","407.4212"
"13.3800","13.3282","407.7426"
"13.4000","13.3494","408.0720"
"13.4200","13.3697","408.6325"
"13.4400","13.3894","409.3848"
"13.4600","13.4083","410.3147"
"13.4800","13.4280","411.1219"
"13.5000","13.4488","411.2868"
"13.5200","13.4687","411.8241"
"13.5400","13.4883","412.4848"
"13.5600","13.5081","413.2080"
"13.5800","13.5283","413.8682"
"13.6000","13.5493","413.8744"
"13.6200","13.5697","415.0169"
"13.6400","13.5892","415.6942"
"13.6600","13.6088","416.7438"
"13.6800","13.6289","416.9691"
"13.7000","13.6494","416.9917"
"13.7200","13.6685","417.5936"
"13.7400","13.6874","418.8228"
