wall_us,step,phase,fw_t_us,src,seq,hw_us,raw_code,voltage_V,stage_mm
308773984000,1,static,12970000,2,,,69160,0.04122300,9.999960
308773984000,1,static,12971000,1,,,2129109191,4.95721900,9.999960
308773984000,1,static,12972000,2,,,69510,0.04143100,9.999960
308774000000,1,static,12973000,1,,,2128937046,4.95681800,9.999960
308774000000,1,static,12974000,2,,,69620,0.04149700,9.999960
308774000000,1,static,12975000,1,,,2129310963,4.95768800,9.999960
308774000000,1,static,12976000,2,,,69620,0.04149700,9.999960
308774000000,1,static,12977000,1,,,2129310963,4.95768800,9.999960
308774000000,1,static,12978000,2,,,68230,0.04066800,9.999960
308774000000,1,static,12979000,1,,,2129329335,4.95773100,9.999960
308774000000,1,static,12980000,2,,,68180,0.04063800,9.999960
308774000000,1,static,12981000,1,,,2129424900,4.95795300,9.999960
308774000000,1,static,12982000,2,,,68040,0.04055500,9.999960
308774000000,1,static,12983000,1,,,2129599230,4.95836000,9.999960
308774000000,1,static,12984000,2,,,68640,0.04091300,9.999960
308774000000,1,static,12985000,1,,,2129236380,4.95751500,9.999960
308774000000,1,static,12986000,2,,,68660,0.04092500,9.999960
308774015000,1,static,12987000,1,,,2129236380,4.95751500,9.999960
308774015000,1,static,12988000,2,,,68660,0.04092500,9.999960
308774015000,1,static,12989000,1,,,2129010819,4.95699000,9.999960
308774015000,1,static,12990000,2,,,69050,0.04115700,9.999960
308774015000,1,static,12991000,1,,,2129300350,4.95766400,9.999960
308774015000,1,static,12992000,2,,,68650,0.04091900,9.999960
308774015000,1,static,12993000,1,,,2129313879,4.95769500,9.999960
308774015000,1,static,12994000,2,,,68230,0.04066800,9.999960
308774015000,1,static,12995000,1,,,2129327325,4.95772600,9.999960
308774015000,1,static,12996000,2,,,67630,0.04031100,9.999960
308774015000,1,static,12997000,1,,,2129327325,4.95772600,9.999960
308774015000,1,static,12998000,2,,,67630,0.04031100,9.999960
308774015000,1,static,12999000,1,,,2129515861,4.95816600,9.999960
308774015000,1,static,13000000,2,,,67640,0.04031700,9.999960
308774015000,1,static,13001000,1,,,2129197640,4.95742500,9.999960
308774015000,1,static,13002000,2,,,68920,0.04108000,9.999960
308774031000,1,static,13003000,1,,,2128930167,4.95680200,9.999960
308774031000,1,static,13004000,2,,,69510,0.04143100,9.999960
308774031000,1,static,13005000,1,,,2129182514,4.95738900,9.999960
308774031000,1,static,13006000,2,,,69560,0.04146100,9.999960
308774031000,1,static,13007000,1,,,2129281293,4.95761900,9.999960
308774031000,1,static,13008000,2,,,69560,0.04146100,9.999960
308774031000,1,static,13009000,1,,,2129281293,4.95761900,9.999960
308774031000,1,static,13010000,2,,,69450,0.04139500,9.999960
308774031000,1,static,13011000,1,,,2129319936,4.95770900,9.999960
308774031000,1,static,13012000,2,,,68330,0.04072800,9.999960
308774031000,1,static,13013000,1,,,2129572884,4.95829800,9.999960
308774031000,1,static,13014000,2,,,67820,0.04042400,9.999960
308774031000,1,static,13015000,1,,,2129334112,4.95774200,9.999960
308774031000,1,static,13016000,2,,,67490,0.04022700,9.999960
308774031000,1,static,13017000,1,,,2129023271,4.95701800,9.999960
308774031000,1,static,13018000,2,,,68830,0.04102600,9.999960
308774046000,1,static,13019000,1,,,2129023271,4.95701800,9.999960
308774046000,1,static,13020000,2,,,68830,0.04102600,9.999960
308774046000,1,static,13021000,1,,,2129211102,4.95745600,9.999960
308774046000,1,static,13022000,2,,,69300,0.04130600,9.999960
308774046000,1,static,13023000,1,,,2129337107,4.95774900,9.999960
308774046000,1,static,13024000,2,,,69270,0.04128800,9.999960
308774046000,1,static,13025000,1,,,2129366994,4.95781900,9.999960
308774046000,1,static,13026000,2,,,67860,0.04044800,9.999960
308774046000,1,static,13027000,1,,,2129571813,4.95829600,9.999960
308774046000,1,static,13028000,2,,,67880,0.04046000,9.999960
308774046000,1,static,13029000,1,,,2129571813,4.95829600,9.999960
308774046000,1,static,13030000,2,,,67880,0.04046000,9.999960
308774046000,1,static,13031000,1,,,2129377754,4.95784400,9.999960
308774046000,1,static,13032000,2,,,67710,0.04035800,9.999960
308774046000,1,static,13033000,1,,,2129030989,4.95703600,9.999960
308774046000,1,static,13034000,2,,,68290,0.04070400,9.999960
308774062000,1,static,13035000,1,,,2129138476,4.95728700,9.999960
308774062000,1,static,13036000,2,,,68990,0.04112100,9.999960
308774062000,1,static,13037000,1,,,2129315783,4.95770000,9.999960
308774062000,1,static,13038000,2,,,69140,0.04121100,9.999960
308774062000,1,static,13039000,1,,,2129275300,4.95760500,9.999960
308774062000,1,static,13040000,2,,,69140,0.04121100,9.999960
308774062000,1,static,13041000,1,,,2129275300,4.95760500,9.999960
308774062000,1,static,13042000,2,,,68710,0.04095400,9.999960
308774062000,1,static,13043000,1,,,2129472438,4.95806400,9.999960
308774062000,1,static,13044000,2,,,68020,0.04054300,9.999960
308774062000,1,static,13045000,1,,,2129344487,4.95776700,9.999960
308774062000,1,static,13046000,2,,,68050,0.04056100,9.999960
308774062000,1,static,13047000,1,,,2128963530,4.95688000,9.999960
308774062000,1,static,13048000,2,,,68210,0.04065600,9.999960
308774078000,1,static,13049000,1,,,2129095353,4.95718600,9.999960
308774078000,1,static,13050000,2,,,68210,0.04065600,9.999960
308774078000,1,static,13051000,1,,,2129095353,4.95718600,9.999960
308774078000,1,static,13052000,2,,,68970,0.04110900,9.999960
308774078000,1,static,13053000,1,,,2129400776,4.95789800,9.999960
308774078000,1,static,13054000,2,,,69450,0.04139500,9.999960
308774078000,1,static,13055000,1,,,2129338789,4.95775300,9.999960
308774078000,1,static,13056000,2,,,69450,0.04139500,9.999960
308774078000,1,static,13057000,1,,,2129480725,4.95808400,9.999960
308774078000,1,static,13058000,2,,,69190,0.04124000,9.999960
308774078000,1,static,13059000,1,,,2129389256,4.95787100,9.999960
308774078000,1,static,13060000,2,,,68370,0.04075200,9.999960
308774078000,1,static,13061000,1,,,2129389256,4.95787100,9.999960
308774078000,1,static,13062000,2,,,68370,0.04075200,9.999960
308774078000,1,static,13063000,1,,,2128979436,4.95691700,9.999960
308774078000,1,static,13064000,2,,,68460,0.04080500,9.999960
308774093000,1,static,13065000,1,,,2129025424,4.95702400,9.999960
308774093000,1,static,13066000,2,,,68380,0.04075800,9.999960
308774093000,1,static,13067000,1,,,2129338048,4.95775200,9.999960
308774093000,1,static,13068000,2,,,69070,0.04116900,9.999960
308774093000,1,static,13069000,1,,,2129275192,4.95760500,9.999960
308774093000,1,static,13070000,2,,,69980,0.04171100,9.999960
308774093000,1,static,13071000,1,,,2129275192,4.95760500,9.999960
308774093000,1,static,13072000,2,,,69980,0.04171100,9.999960
308774093000,1,static,13073000,1,,,2129447328,4.95800600,9.999960
308774093000,1,static,13074000,2,,,68830,0.04102600,9.999960
308774093000,1,static,13075000,1,,,2129481931,4.95808600,9.999960
308774093000,1,static,13076000,2,,,68210,0.04065600,9.999960
308774093000,1,static,13077000,1,,,2129051166,4.95708400,9.999960
308774093000,1,static,13078000,2,,,68330,0.04072800,9.999960
308774093000,1,static,13079000,1,,,2129008204,4.95698400,9.999960
308774093000,1,static,13080000,2,,,67740,0.04037600,9.999960
