wall_us,step,phase,stage_mm,set_vel_mm_s
308851734000,2,ramp_fwd,11.498759,0.1000
308851765000,2,ramp_fwd,11.501934,0.1000
308851796000,2,ramp_fwd,11.501934,0.1000
308851828000,2,ramp_fwd,11.505109,0.1000
308851859000,2,ramp_fwd,11.508284,0.1000
308851890000,2,ramp_fwd,11.511459,0.1000
308851921000,2,ramp_fwd,11.514733,0.1000
308851953000,2,ramp_fwd,11.517809,0.1000
308851984000,2,ramp_fwd,11.521083,0.1000
308852015000,2,ramp_fwd,11.524258,0.1000
308852046000,2,ramp_fwd,11.527532,0.1000
308852078000,2,ramp_fwd,11.530707,0.1000
308852109000,2,ramp_fwd,11.533882,0.1000
308852140000,2,ramp_fwd,11.537057,0.1000
308852171000,2,ramp_fwd,11.540232,0.1000
308852203000,2,ramp_fwd,11.543407,0.1000
308852234000,2,ramp_fwd,11.546681,0.1000
308852265000,2,ramp_fwd,11.549856,0.1000
308852296000,2,ramp_fwd,11.553031,0.1000
308852328000,2,ramp_fwd,11.556206,0.1000
308852359000,2,ramp_fwd,11.559480,0.1000
308852390000,2,ramp_fwd,11.562655,0.1000
308852421000,2,ramp_fwd,11.565830,0.1000
308852453000,2,ramp_fwd,11.569005,0.1000
308852484000,2,ramp_fwd,11.572180,0.1000
308852515000,2,ramp_fwd,11.575455,0.1000
308852546000,2,ramp_fwd,11.578530,0.1000
308852578000,2,ramp_fwd,11.581805,0.1000
308852609000,2,ramp_fwd,11.584980,0.1000
308852640000,2,ramp_fwd,11.588254,0.1000
308852671000,2,ramp_fwd,11.591429,0.1000
308852703000,2,ramp_fwd,11.594604,0.1000
308852734000,2,ramp_fwd,11.597779,0.1000
308852765000,2,ramp_fwd,11.600954,0.1000
308852796000,2,ramp_fwd,11.604228,0.1000
308852828000,2,ramp_fwd,11.607403,0.1000
308852859000,2,ramp_fwd,11.610578,0.1000
308852890000,2,ramp_fwd,11.613753,0.1000
308852921000,2,ramp_fwd,11.617027,0.1000
308852953000,2,ramp_fwd,11.620202,0.1000
308852984000,2,ramp_fwd,11.623377,0.1000
308853015000,2,ramp_fwd,11.626552,0.1000
308853046000,2,ramp_fwd,11.629727,0.1000
308853078000,2,ramp_fwd,11.633002,0.1000
308853109000,2,ramp_fwd,11.636177,0.1000
308853140000,2,ramp_fwd,11.639352,0.1000
308853171000,2,ramp_fwd,11.642527,0.1000
308853203000,2,ramp_fwd,11.645702,0.1000
308853234000,2,ramp_fwd,11.645702,0.1000
308853265000,2,ramp_fwd,11.648976,0.1000
308853296000,2,ramp_fwd,11.652151,0.1000
308853328000,2,ramp_fwd,11.655326,0.1000
308853359000,2,ramp_fwd,11.658501,0.1000
308853390000,2,ramp_fwd,11.661775,0.1000
308853421000,2,ramp_fwd,11.664950,0.1000
308853453000,2,ramp_fwd,11.668125,0.1000
308853484000,2,ramp_fwd,11.671300,0.1000
308853515000,2,ramp_fwd,11.674475,0.1000
308853546000,2,ramp_fwd,11.677749,0.1000
308853578000,2,ramp_fwd,11.680924,0.1000
308853609000,2,ramp_fwd,11.684099,0.1000
308853640000,2,ramp_fwd,11.687274,0.1000
308853671000,2,ramp_fwd,11.690449,0.1000
308853703000,2,ramp_fwd,11.693723,0.1000
308853734000,2,ramp_fwd,11.696898,0.1000
308853765000,2,ramp_fwd,11.700073,0.1000
308853796000,2,ramp_fwd,11.703248,0.1000
308853828000,2,ramp_fwd,11.706523,0.1000
308853859000,2,ramp_fwd,11.709698,0.1000
308853890000,2,ramp_fwd,11.712873,0.1000
308853921000,2,ramp_fwd,11.716048,0.1000
308853953000,2,ramp_fwd,11.719223,0.1000
308853984000,2,ramp_fwd,11.722497,0.1000
308854015000,2,ramp_fwd,11.725672,0.1000
