=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.31 18:54:53 =~=~=~=~=~=~=~=~=~=~=~=
── Commands ────────────────────────────────
  a  10 Hz  sine @ 400 SPS  (4000 samples)
  b  50 Hz  sine @ 400 SPS  (4000 samples)
  c  100 Hz sine @ 400 SPS  (4000 samples)
  d  100 Hz sine @ 1200 SPS (4000 samples)
  e  100 Hz sine @ 2400 SPS (4000 samples)
  r  Single reading
  h  Help
────────────────────────────────────────────
Waveform gen: 2.0Vpp sine, 1.2V offset
AIN0 = signal, AIN1 = GND
CSV output between CSV_START/CSV_END markers
Paste into Python script for amplitude/frequency analysis


══ Test C: 100 Hz @ 2400 SPS
   Signal: 2.0Vpp sine, 1.2V offset, 100 Hz
   Collecting 4000 samples at 400 SPS (poll mode)...

── CSV_START ────────────────────────────────
index,time_ms,voltage_V
  Sanity check: 1.8005 V  (should be ~1.2V if generator connected)

934,1132,0.445631
935,1133,0.223194
936,1134,0.261938
937,1135,0.767984
938,1137,1.757055
939,1138,2.172911
940,1140,1.845481
941,1141,1.124295
942,1143,0.223354
943,1144,0.261862
944,1145,0.551161
945,1146,1.272125
946,1147,1.949586
947,1149,2.134611
948,1150,1.629246
949,1151,1.124904
950,1152,0.447150
951,1153,0.223838
952,1154,0.261906
953,1155,0.767068
954,1157,1.756442
955,1158,2.172835
956,1160,1.629878
957,1161,1.125379
958,1162,0.640549
959,1163,0.224051
960,1164,0.378049
961,1166,1.270992
962,1167,1.949431
963,1168,2.172922
964,1169,2.135374
965,1170,1.630540
966,1171,1.126043
967,1172,0.640942
968,1173,0.224125
969,1175,0.766393
970,1176,1.270357
971,1178,2.172744
972,1179,2.135189
973,1180,1.847031
974,1181,1.126226
975,1182,0.447638
976,1184,0.261002
977,1185,0.765799
978,1186,1.269812
979,1187,1.948508
980,1188,2.172340
981,1189,2.135341
982,1190,1.631269
983,1192,0.641542
984,1193,0.223618
985,1195,0.765198
986,1196,1.269447
987,1197,1.754650
988,1198,2.172277
989,1199,2.019548
990,1201,1.127259
991,1202,0.448204
992,1204,0.260446
993,1205,0.764484
994,1206,1.268811
995,1207,1.754248
