level_mA,heat_ms,sweep,run_type,cycle,bootstrap,i_mA,cc_pct,u_V,R_ohm,v_hot_V,i_hot_mA,r_hot_ohm,p_hot_W,r_base_ohm,t_heat_start_s,t_heat_end_s,t_pulse_utc,dx_um,x_base_um,baseline_V,peak_V,rise_V,F_base_mN,dF_mN,clipped,railed,detect_ok,n_samples,cool_s,i_low_mA,seeded
550,400,sweep_20260805_105318,map,6,0,550.8112821158691,100.1,2.10059638790932,3.813640816942158,2.099234,553.86,3.7901888563897015,1.16268174324,3.9948740303037646,1600.560019,1600.960019,2026-08-05T16:31:29.520523+00:00,427.84781054583027,-4361.436678737604,3.187291702127659,3.513592,0.3263002978723408,312.4530741017914,31.987511868613904,0,0,1,397,30.0,0,1
650,400,sweep_20260805_105318,map,1,1,649.1463230769231,99.9,2.476134764102564,3.8144478002521858,2.4663190000000004,646.324,3.815917403655133,1.5940411613560002,3.861681470770502,1656.445453,1656.845453,2026-08-05T16:32:25.633421+00:00,683.478533323575,-4426.937220568345,3.1366298095238094,3.669292,0.5326621904761906,307.48664317445554,52.217353924957344,0,0,1,390,30.0,0,1
650,400,sweep_20260805_105318,map,2,0,649.6365203045685,99.9,2.4768110532994925,3.8126105535727755,2.451958,648.529,3.7807993166072755,1.590165869782,4.013940318013505,1687.82975,1688.22975,2026-08-05T16:32:56.996705+00:00,681.3724722456918,-4396.33152002239,3.1599521746031747,3.692579,0.5326268253968252,309.77295561316566,52.2138870543988,0,0,1,394,30.0,0,1
650,400,sweep_20260805_105318,map,3,0,651.1930516795866,100.2,2.484011400516796,3.8145545228253304,2.4572845,648.847,3.7871555235671894,1.5944016759714998,3.99469019418258,1719.208438,1719.608438,2026-08-05T16:33:28.354384+00:00,650.4232039039998,-4394.355981154723,3.1617238042328033,3.667855,0.5061311957671966,309.9466300602135,49.616496635908526,0,0,1,387,30.0,0,1
650,400,sweep_20260805_105318,map,4,0,649.6977416879796,100.0,2.467825074168798,3.7984202742603697,2.453254,650.218,3.7729715264726598,1.5951499093719999,4.008315405255143,1750.586519,1750.986519,2026-08-05T16:33:59.711456+00:00,716.4598802282358,-4380.400013254061,3.1716087021276596,3.728187,0.5565782978723406,310.9156554971914,54.56187145734615,0,0,1,391,30.0,0,1
650,400,sweep_20260805_105318,map,5,0,650.8507609254499,100.1,2.477236902313625,3.806151964532118,2.429091,650.116,3.7363962738957355,1.579190924556,4.009092447948153,1781.971212,1782.371212,2026-08-05T16:34:31.075136+00:00,689.152536289936,-4373.856204491766,3.1771720105820105,3.714663,0.5374909894179893,311.46103163191356,52.690725431110145,0,0,1,389,30.0,0,1
650,400,sweep_20260805_105318,map,6,0,650.0542627551021,100.0,2.479150234693878,3.8137589071204347,2.460356,652.377,3.7713714615935263,1.605079666212,3.974195360783369,1813.344555,1813.744555,2026-08-05T16:35:02.427473+00:00,703.0332715964832,-4380.507067207519,3.170977510638297,3.722739,0.5517614893617027,310.8537792274209,54.08967538395135,0,0,1,392,30.0,0,1
750,400,sweep_20260805_105318,map,1,1,750.347656641604,100.0,2.84448556641604,3.790890184354477,2.8088569999999997,753.515,3.7276723091112984,2.1165158823549994,3.955472677152586,1868.778422,1869.178422,2026-08-05T16:35:58.280773+00:00,1262.5156837339564,-4436.740929169194,3.1289638351063833,4.126334,0.9973701648936166,306.7351408029872,97.77309489131267,0,0,1,399,30.0,0,1
750,400,sweep_20260805_105318,map,2,0,750.4729721518988,100.1,2.8387390303797475,3.7825999545859395,2.7669379999999997,754.1690000000001,3.668856715139444,2.086738864522,3.993821043897173,1900.16441,1900.56441,2026-08-05T16:36:29.643769+00:00,1174.6452360741632,-4394.845158951164,3.1610709365079366,4.089874,0.9288030634920634,309.88262884956805,91.05140023096418,0,0,1,395,30.0,0,1
750,400,sweep_20260805_105318,map,3,0,749.9675601023017,100.0,2.8364964245524296,3.782158823196977,2.782606,748.485,3.717650988329759,2.0827388519100003,4.008494413475229,1931.540937,1931.940937,2026-08-05T16:37:00.997312+00:00,1250.508185349981,-4357.902810793406,3.1890909788359783,4.177523,0.9884320211640216,312.6294588168455,96.89688061722808,0,0,1,391,30.0,0,1
